,title,label
2725, A viral image suggests that cocaine kills coronavirus.,f
1196, Having sex every morning kills coronavirus.,f
3539, Picture shows the Mecca totally empty.,f
3694, Queen Elizabeth is shown in a quote card to be praising President Rodrigo Duterte for the Philippines government’s efforts amid the COVID-19 pandemic in a recent speech.,f
4519," Official news: in Naples people have used Tocilizumab, a drug that will cure COVID-19.",f
1121, Hot weather will stop the COVID-19 pandemic.,f
3032, Singapore checks the saliva of Indonesian arrivals at Changi Airport.,f
3116," The COVID-19 epidemic is almost finished in the Netherlands. The government did not close a single shop. Tweeted initially by a former Bolsonaro minister, Osmar Terra, on 3/31/20.",f
4207, Emergency rooms in hospital are empty because the crisis has been overstimated.,f
4123," A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown.",f
4635, The Australian prime minister is about to announce a national lockdown.,f
1243," An American CEO drew the Indian map comparing the population of each Indian state to that of countries across the world, highlighting how India is indirectly handling the COVID-19 crisis of so many countries.",f
166, Abascal and Casado have voted to fire Spanish workers who became ill due to COVID-19.,f
4110, Video claiming you can’t catch coronavirus.,f
3367, Filipinos are eating a bat soup in Wuhan.,f
1648, A confidential governmental document proves that the government has decided to postpone local elections in France because of the outbreak.,f
4113, The “Di Bella” treatment method is useful for curing COVID-19.,f
1056," New coronavirus information: “15% fatality rate, 83% infection rate” and “the worst in human history”.",f
4, Chlorine dioxide cures the coronavirus.,f
3220, A video shows a fortune teller predicting the coronavirus pandemic in December on Spanish TV.,f
1892,"No, a Hair Dryer Won’t Stop Coronavirus
A viral video that claims breathing hot air from a hair dryer could cure COVID-19 demonstrates a basic and dangerous lack of understanding about science.




							False",f
2313," A book by D.Koontz, “The Eyes of Darkness,” predicted COVID-19 in 1981.",f
3147," Boil weed and ginger for COVID-19 victims, and the virus will vanish.",f
343," 48 COVID-19 positive patients from Jaamat found in Delhi’s Sultanpuri area, in India.",f
2115," After husband tested positive for coronavirus, wife fled from Bangalore to Agra in India.",f
5024, Messages linking scientist Bing Liu’s death to “very significant findings” about the coronavirus he was supposedly about to make at the University of Pittsburgh.,f
715, An image showing a COVID-19 vaccine created in 2001.,f
