,title,label
2871," African Union (AU) has validated COVID-Organics, a Malagasy remedy against 2019-nCov (the new coronavirus).",f
242, A video of a Muslim fruit-vendor spitting on fruits to spread coronavirus.,f
4218, Video shows an alleged hotel owner in New York who jumped out of a window after firing all his employees. The hotel went bankrupt because of the lockdown policies.,f
1602, Post claims U.S. President Donald Trump announced that Roche Diagnostics is launching a vaccine for COVID-19.,f
3711," Images of the medical facility shared with the claim that the Indian Army set up a 1,000-bed hospital in Rajasthan during the coronavirus pandemic.",f
3903, The spread of the new coronavirus was planned by the Rockefellers years ago.,f
470, An image claims that chroma screen panels are being used to make up coronavirus deaths.,f
2775, Claim that football star Cristiano Ronaldo has converted his hotel chain into coronavirus hospitals.,f
2803, Video of Muslims violating lockdown conditions in Old city (Hyderabad).,f
648, Prince Charles is infected with coronavirus after meeting Indian singer Kanika Kapoor.,f
2734, Social media users have shared a photo that claims to show a “Center for Global Human Population Reduction” affiliated with the Bill & Melinda Gates Foundation.,f
727, A claim that 500 body bags were delivered to an ice skating rink outside the Australian city of Adelaide has been shared widely on Facebook during the novel coronavirus pandemic.,f
1832, President Donald Trump referred to the coronavirus as a “hoax” or “political conspiracy.”,f
834, Chloroquine effectiveness has been proved.,f
2356, A person with coronavirus is in Andorra on 2/10/20.,f
3775," Tunisia announces in the coming hours that its sea, air and land borders will be closed again to counter Covid-19.",f
3127, Turkish President Erdoğan will declare a curfew due to COVID-19.,f
3009, An audio clip suggests that the WHO has advised a lockdown.,f
1962, Says certain states are banning the sale of alcohol.,f
3916, India TV telecasted news that Bollywood Actor Shahrukh Khan donated 450 million (45 Crore) Rupees to Pakistan Oil tanker blast victims.,f
2040, The studies initiated by the “Military Research Institute” transformed the form of virus in 2018.,f
272, Donald Trump’s claim that the USA had more testing than all other countries combined.,f
1182, 5G frequences are negatively affecting the oxygen absorbion by the human body and it worsen the symptoms of COVID-19.,f
1630, Bill Gates is doing “population control” with the coronavirus vaccine.,f
594, Having a beard increases your chances of getting coronavirus.,f
3219, A photo has been shared hundreds of times in multiple Facebook posts that claim it shows doctors and nurses in Italy who died from COVID-19.,f
1358, A Kenyan government minister showed his middle finger to coronavirus “idiots” during a televised press conference.,f
1968, An article says that Britain has “pulled out” of a 5G contract with Chinese company Huawei because test kits were found to be contaminated with coronavirus.,f
2892," China asks for permission to kill 20,000 infected cases.",f
1048, The japanese doctor Tasuku Honjo says that coronavirus is not natural.,f
3729," “Germany and the United States are the two best in deaths per 100,000 people, which, frankly, to me, that’s perhaps the most important number there is.”",f
3571, A patient infected with coronavirus was killed by drug dealers.,f
345," Video of migrant labourers coming onto the streets in Ahmedabad, India due to lack of rations provided to then during the COVID-19 crisis and lockdown regulations.",f
2222, A video purporting that an attack on doctors was avenged by policemen.,f
1910," Ambulance health care workers are transporting a coronavirus patient in The Hague (The Netherlands), dressed in white protective suits.",f
2918, This is a photo of the first Moroccan infected with the virus.,f
352, Army to be deployed to respond to COVID-19 pandemic.,f
574, It is false that this Wednesday a curfew is in effect for 14 days in Costa Rica.,f
1601, A pavilion will be opened in Fraga (Huesca) due to an increase in the number of COVID-19 cases.,f
2158," As per the video, Bollywood actor Aamir Khan donated 250 crore to fight aganist COVID-19.",f
991, You shouldn’t open your windows.,f
509, A tweet from Donald Trump in 2009 said that he would ‘never let thousands of Americans die from a pandemic’.,f
2619," China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.",f
2760," The co-founder of the Union, Progress and Democracy (UPyD) party, Rosa Díe allegedly tweeted that she says “it is time for the Army to take over …” to handle the emergency.",f
3726, An image claims it shows the Grand Canal of the Italian city of Venice full of what the caption calls ‘pink swans’.,f
3682, A claim that a trolley collector at a supermarket in the Australian state of New South Wales tested positive for the novel coronavirus in March 2020 has been shared hundreds of times in multiple posts on Facebook.,f
1447," In Singapore, Hong Kong people ran into the supermarket in a panic to buy toilet paper.",f
1799," Trump faints, is infected with coronavirus.",f
2432, Ibuprofen worsens coronavirus infection.,f
1291, CDC sponsored Facebook post asking for help with “escaped” coronavirus patient.,f
525," The Bombay High Court in Mumbai City has extended the lockdown in the state of Maharashtra till April 30, 2020.",f
3028, Wine will protect you from COVID-19.,f
3511, Journalist claims a coronavirus patient was murdered.,f
1964, The former French ministry of Health (Agnès Buzyn) treated a famous movie producer (Raymond Blumenthal) with hydroxychloroquine.,f
1971, A large Muslim crowd in the indian city of Haldwani stone pelted doctors when they tried to quarantine the Imam.,f
1691, Chinese prime minister visits a mosque following the coronavirus outbreak.,f
2887,"Did CBS News Use a 2016 Ukraine Photo in COVID-19 Coverage?
Unverified, random tweets are not regarded as reliable sources by real journalists.




							False",f
2224, The new digital derogatory attestation allowing to go out will be used by French state and police in order to collect personal data and track its population.,f
4123," A video of food packets deposited on a street has been viewed millions of times on Facebook, Twitter and YouTube alongside a claim it shows food donations for people in Turkey during a novel coronavirus lockdown.",f
1271, A video of a man committing suicide by jumping from a hotel in Italy after his entire family died because of the coronavirus.,f
2980, Korean drama predicted the occurrence of COVID-19 in 2018.,f
3841, Article overstates threat of coronavirus.,f
909," As of 4/1/20, all coronavirus patients from Blumenau, Brazil, were cured.",f
3260, Iraqi Ministry of Health demanded to close the border With Iran because of coronavirus.,f
82," Dolphins appeared in Veracruz, Mexico during the outbreak of the new coronavirus.",f
3922, A video says the Vatican confirmed Pope Francis and two aides tested positive for coronavirus.,f
